rep_id,first_name,last_name,rep_name,site,queue_name,department,job_role,can_transfer_departments,tenure_months,primary_skill_tag,secondary_skill_tag,primary_skill_label,secondary_skill_label,strengths,weaknesses,strain_tier,pressure_index_baseline,qa_score,fcr_30d,repeat_contact_rate,aht_secs,csat_proxy,transfer_rate,escalation_rate,compliance_risk,productivity_index,burnout_index,resilience_index,volatility_index,policy_accuracy,discovery_skill,conflict_tolerance,technical_skill,credit_discipline,ownership_bias,emotional_regulation,aht_pressure_bias,strain_score,weakness_tags,strength_tags
REP00001,Riley,Peterson,Riley Peterson,NovaWireless,General Support,Call Center,Customer Service Representative,False,39,network_service,fraud_unwanted_calls,tech_support,fraud_unwanted_calls,network_service|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,0.6092,0.7296,0.2179,510.59,0.6528,0.052,0.1328,0.2245,0.6609,0.4261,0.8187,0.6664,0.42949826989619366,0.4909646927995551,0.38538538538538525,0.5189100226041301,0.6862692203938494,0.4508818486853342,0.2793620759562103,0.4714321210830429,0.54313431325695,reactive_under_stress,balanced
REP00002,Zoe,Stewart,Zoe Stewart,NovaWireless,General Support,Call Center,Customer Service Representative,False,31,general_support,network_service,general_support,tech_support,general_support|network_service|generalist,none_flagged,medium,0.1359,0.6724,0.7031,0.2502,599.42,0.8113,0.0693,0.1515,0.2394,0.7159,0.4396,0.8302,0.5338,0.5661764705882353,0.4011676396997499,0.2917917917917918,0.5504946153218568,0.6460749932560022,0.7057497073464458,0.4585754831734017,0.5940168409460436,0.491775029790391,escalation_prone,balanced
REP00003,Finn,Foster,Finn Foster,NovaWireless,General Support,Call Center,Customer Service Representative,False,42,network_service,billing_resolution,tech_support,billing_support,network_service|billing_resolution|generalist,none_flagged,medium,0.1359,0.6446,0.6356,0.3264,565.85,0.6625,0.071,0.1099,0.2014,0.6153,0.4537,0.8744,0.4274,0.5060553633217992,0.189324437030859,0.4999999999999999,0.42681408942789,0.7485837604531966,0.537205024540512,0.6023786998243006,0.5306455522829472,0.42630857514507037,discovery_gap,balanced
REP00004,Hazel,Robinson,Hazel Robinson,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,network_service,general_support,tech_support,general_support,network_service|general_support|generalist,none_flagged,low,0.1359,0.5902,0.7051,0.2472,556.44,0.6995,0.083,0.0476,0.3129,0.6417,0.3657,0.9615,0.3431,0.38840830449826974,0.4095079232693912,0.8118118118118118,0.4643844573808963,0.4478014567035339,0.7052599645574418,0.716313015272334,0.47545015679083547,0.25140436423849843,none,deescalation_strong
REP00005,Alexander,Anderson,Alexander Anderson,NovaWireless,General Support,Call Center,Customer Service Representative,False,49,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,medium,0.1359,0.6544,0.7588,0.2647,516.93,0.7788,0.0566,0.0962,0.3443,0.7015,0.432,0.8835,0.3969,0.5272491349480968,0.36085626911314994,0.5685685685685685,0.6082847616488056,0.36309684380901,0.7250664392134569,0.6436004865522369,0.494291116686666,0.3887917792176576,none,balanced
REP00006,Nicholas,Khan,Nicholas Khan,NovaWireless,General Support,Call Center,Customer Service Representative,False,36,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,none_flagged,medium,0.1359,0.7375,0.7064,0.1727,535.48,0.772,0.0466,0.1173,0.2323,0.6842,0.3923,0.9034,0.3894,0.7069636678200693,0.6166249652488185,0.4629629629629629,0.6254651903594105,0.6652279471270569,0.7403580938810161,0.6537369914853359,0.5399704512909488,0.33722964051040033,none,balanced
REP00007,Diego,Watson,Diego Watson,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,billing_resolution,general_support,billing_support,general_support,billing_resolution|general_support|generalist,none_flagged,low,0.1359,0.6231,0.7339,0.2767,575.73,0.6552,0.0364,0.0567,0.3332,0.6516,0.3397,0.9085,0.363,0.45955882352941174,0.32749513483458437,0.7662662662662663,0.5399042383943868,0.3930401942271379,0.5700006498217899,0.6894174888498446,0.4509550734951629,0.2786471148042502,discovery_gap,deescalation_strong
REP00008,Mia,Morales,Mia Morales,NovaWireless,General Support,Call Center,Customer Service Representative,False,36,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,high,0.1359,0.6026,0.6829,0.2408,584.11,0.741,0.0271,0.0873,0.304,0.5916,0.5353,0.767,0.6953,0.4152249134948097,0.4273005282179595,0.613113113113113,0.44700219322451995,0.4718100890207716,0.5179911032072835,0.24030274361400183,0.4280572048462308,0.6859721584436932,reactive_under_stress,balanced
REP00009,Amir,White,Amir White,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,fraud_unwanted_calls,general_support,fraud_unwanted_calls,general_support,fraud_unwanted_calls|general_support|generalist,none_flagged,low,0.1359,0.7287,0.6731,0.2247,498.03,0.7016,0.0396,0.0841,0.2214,0.6907,0.3061,1.0,0.4352,0.6879325259515571,0.4720600500417014,0.6291291291291291,0.5697637664431849,0.694631777717831,0.7579521357164496,0.5918367346938777,0.5962998748097471,0.20924931376059192,none,accountability_driven
REP00010,Jace,James,Jace James,NovaWireless,General Support,Call Center,Customer Service Representative,False,24,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,0.5427,0.6789,0.2073,493.94,0.5785,0.1158,0.152,0.2705,0.6333,0.4901,0.9593,0.8463,0.2856833910034601,0.5204336947456214,0.2892892892892893,0.37668358177080075,0.5621796601025087,0.5191529518427513,0.036221110960940606,0.4986799614213163,0.5610559492699653,policy_confusion|escalation_prone|reactive_under_stress,balanced
